Montycloud DAY2 Well-Architected Assessment Report (Confidential),,,,,,,,,,,,
,,,,,,,,,,,,
Report generated by,daniel.perez6789@gmail.com,,,,,,,,,,,
Report generated at,08 Jul 2024 16:00:35 UTC,,,,,,,,,,,
Workload Name,Test Customer Non-Prod June 2024,,,,,,,,,,,
Review Owner,Daniel Perez,,,,,,,,,,,
Improvement Status,NOT_APPLICABLE,,,,,,,,,,,
,,,,,,,,,,,,
Serial number,Pillar,Severity,Status,Resource ID,Resource Name,Resource Type,Question,Check Title,Check Description,Account Name,Account ID,Region
76,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
77,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",Sandbox,,global
78,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Restrict access to RDP port (tcp3389),"For enhanced security, prevent external access to RDP (tcp3389) via both IPv4 and IPv6 protocols. Achieve this by configuring your security groups to restrict inbound traffic to specific IP ranges or VPNs.",Sandbox,,us-east-1
79,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
80,security,High,Failed,,,Lambda,How do you manage permissions for people and machines?,Ensure Amazon Lambda Functions Do Not Share the Same AWS IAM Execution Role,"Ensure that your Amazon Lambda functions do not share the same execution role in order to promote the Principle of Least Privilege. Each individual Lambda function should have its own execution role with the minimal amount of access required to perform its tasks. By providing tailored permissions to each function, we reduce the risk of privilege escalation and unauthorized actions. This practice enhances the security posture of our serverless applications and ensures that access to AWS resources is appropriately controlled.",NonProd,,us-east-1
81,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
82,security,High,Failed,,,ECSCluster,How do you protect your compute resources?,Use AWS Managed Container Service (ECS),"Using AWS Managed Container Service (ECS) simplifies the deployment and management of containerized applications, allowing for seamless scaling and high availability. It is recommended to leverage AWS ECS to optimize resource utilization, improve operational efficiency, and accelerate application development and deployment.",NonProd,,us-east-1
83,reliability,High,Failed,,,InternetMonitor,How do you monitor workload resources?,Enable Amazon CloudWatch Internet Monitor,"Activate Amazon CloudWatch Internet Monitoring to gain insights into internet connectivity and performance metrics. This feature enables proactive monitoring of outbound traffic, helping to identify and troubleshoot connectivity issues promptly. It is recommended to enable this monitor to ensure reliable internet access for your AWS resources.",Sandbox,,us-east-1
84,security,High,Failed,,,ECSCluster,How do you securely operate your workload?,Use AWS Managed Container Service (ECS),"Using AWS Managed Container Service (ECS) simplifies the deployment and management of containerized applications, allowing for seamless scaling and high availability. It is recommended to leverage AWS ECS to optimize resource utilization, improve operational efficiency, and accelerate application development and deployment.",Sandbox,,us-east-1
85,reliability,High,Failed,,,CloudTrail,How do you monitor workload resources?,AWS CloudTrail must be enabled with multi-region option,"To ensure that you log global service events and capture all management event activity in your AWS account, you should create trails that log events in all AWS Regions. This check verifies if multi-region option is enabled for your AWS CloudTrail.",NonProd,,us-east-1
86,security,High,Failed,,,IAMRole,How do you securely operate your workload?,Ensure AWS IAM Policies Allow Only the Required Privileges for Each Role,"This rule checks whether IAM policy allows all actions on resources. Overly broad permissions may lead to unauthorized access or unintended actions. It is crucial to grant only the necessary privileges to each IAM role based on the principle of least privilege. By tailoring permissions to specific job functions, we reduce the risk of security incidents and maintain better control over our AWS resources.",NonProd,,global
87,reliability,High,Failed,,,CloudwatchDashboard,How do you monitor workload resources?,Use CloudWatch Dashboards,"Utilizing CloudWatch Dashboards enables you to visualize and monitor key performance metrics and operational data from your AWS resources in real-time. By creating custom dashboards tailored to your specific needs, you can gain insights into system health, performance trends, and operational efficiency, facilitating proactive decision-making and rapid issue resolution.",NonProd,,us-east-1
88,security,High,Failed,,,SecurityGroup,How do you protect your compute resources?,Security Groups accept global traffic only from ports 80 and 443,Restricting global access to EC2 instances' well-known ports (except for ports 80 and 443) enhances security by preventing unauthorized access to the instance.,NonProd,,us-east-1
